"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-01",,"63","77",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-02",,"63","73","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-03",,"64","72","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-04",,"63","68","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-05",,"64","68","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-06",,"64","68","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-07",,"59","70","48"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-08",,"62","72",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-09",,"64","68","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-10",,"60","73","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-11",,"62","70","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-12",,"62","73","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-13",,"65","77","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-14",,"63","72","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-15",,"64","77","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-16",,"62","70","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-17",,"63","68","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-18",,"62","68","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-19",,"60","73","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-20",,"62","70","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-21",,"64",,"61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-22",,"63","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-23",,"59","70",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-24",,"64","72","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-25",,"61","72","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-26",,"62","68",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-28",,"58","73","46"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-29",,"58","73","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-06-30",,"63","66","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-01",,"60","70","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-02",,"60","70","48"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-03",,"60","72","52"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-04",,"63","70","50"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-07-05",,"65",,"61"
